_id,Nr_Boczny,Nr_Rej,Brygada,Nazwa_Linii,Ostatnia_Pozycja_Szerokosc,Ostatnia_Pozycja_Dlugosc,Data_Aktualizacji
489,7326,DW573GS,13409,134,51.0852928161621,17.0718612670898,2024-12-08 12:59:31.510000
490,7327,DW570GS,10312,103,51.1452789306641,16.9491691589355,2024-12-09 17:08:16.577000
491,7328,DW572GS,14405,144,51.1071281433105,17.0215301513672,2024-12-08 10:40:33.580000
492,7329,DW574GS,12208,122,51.1063957214355,16.9503135681152,2024-12-08 12:59:31.530000
493,7330,DW851GS,10311,103,51.1216888427734,17.0124988555908,2024-12-09 17:08:14.570000
494,7331,DW853GS,31901,,51.1489791870117,17.022632598877,2024-12-09 17:08:00.763000
495,7332,DW860GS,,,51.1491203308105,17.0228672027588,2024-11-17 20:04:49.647000
496,7333,DW859GS,10504,,51.1320381164551,17.0657424926758,2024-12-08 12:58:50.493000
497,7334,DW858GS,15109,151,51.1519584655762,17.1162700653076,2024-12-09 17:08:14.913000
498,7335,DW857GS,14315,143,51.0788536071777,17.0342273712158,2024-12-09 17:08:16.607000
499,7336,DW855GS,14216,142,51.148193359375,17.0206432342529,2024-12-09 17:08:11.583000
500,7337,DW856GS,31906,319,51.1126136779785,16.9615898132324,2024-12-09 17:08:14.663000
501,7338,DW861GS,13414,,51.1194610595703,16.9518241882324,2024-12-08 12:58:50.537000
502,7339,DW506KF,11805,118,51.1318473815918,17.0646896362305,2024-12-09 17:08:11.793000
503,7340,DW508KF,A02,A,51.1200294494629,17.0515575408936,2024-12-09 17:08:11.583000
504,7341,DW509KF,31909,319,51.1027526855469,16.9452438354492,2024-12-09 17:08:16.677000
505,7342,DW507KF,10201,102,51.1403198242188,16.9139156341553,2024-12-09 17:08:03.657000
506,7343,DW504KF,14407,144,51.1531715393066,17.0435657501221,2024-12-09 17:08:03.867000
507,7344,DW503KF,,,51.1486129760742,17.0232391357422,2024-12-08 12:58:25.603000
508,7345,DW512KF,13202,,51.084041595459,16.9719219207764,2024-12-08 12:58:44.557000
509,7346,DW513KF,12710,127,51.123592376709,17.0109462738037,2024-12-09 17:08:08.560000
